"","WKY_Joint_3m_A","WKY_Joint_3m_B","WKY_Joint_3m_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"Reps2",2.35460927673627,2.35061616592324,2.38395224305343,2.54212620420563,2.28798020241275,2.38371368158551
"Sms",8.82273101343885,8.81000007454846,8.69468907233838,8.5753994203825,8.46529863731034,8.6420255005017
"Pnpla4",4.73401511366062,4.65937136542878,4.63971973643481,4.72116184941281,4.66081691443692,4.74796288503476
"Prrg1",8.8635982519105,8.88249144302202,9.0170763266429,8.60787289642083,8.79079507213206,8.55530250509981
"Apoo",7.28077458915462,7.37271755401973,7.25871767913163,7.22844605550662,7.1327721601237,7.24863750027071
"Yipf6",9.35208723687023,9.31039314975384,9.37761376523425,9.23320139477936,9.44451411581185,9.29248418337339
"Snx12",9.55623832048841,9.5537669533637,9.48292688314769,9.57001595514913,9.39362116642889,9.55389431456738
"Hdac8",7.7819963963286,7.71637777219017,7.67059051286689,7.60188388168586,7.54914409090987,7.65411055769036
"Chic1",6.09363199290195,6.05681447659793,5.90256282188295,5.81828251325672,5.66201731929162,5.91281032914116
"Pbdc1",9.82817935232125,9.88334825162709,9.86384724349657,9.84461738045895,9.83686359036443,9.83265704388929
"RGD1566265",7.50814927562724,7.50239969847114,7.50353887186856,7.30727102015372,7.54877430980782,7.4297582801614
"RGD1561958",2.45005536973307,2.56604806817059,2.81296863786253,2.82794944228482,3.58046126254469,2.89928843350406
"Gla",9.13508668538127,9.03599126542219,9.00411899888352,9.04800025732461,8.94435496606375,9.0775975882124
"Armcx6",8.03282301637373,8.11772170130946,8.07097726661896,8.60312037908426,8.13400601457866,8.3728582890541
"Bex2",1.48776364828452,1.88617707868848,1.67271019991109,1.61670172485583,1.48951596697415,1.56736900949039
"Mid2",8.37496985814286,8.48044570560502,8.53944614755442,8.51636552457924,8.91968519187373,8.60628699254601
"Arhgef6",9.61330937594096,9.24658465965832,9.40936521797214,9.3766215811549,9.32115962138321,9.36947240109656
"Ids",11.6603839828125,11.5746697773798,11.3612718123945,11.1459256272438,11.1847732042975,11.4216044834724
"Abcd1",9.67968050354238,9.62882084912605,9.61406065476808,9.711270049316,9.71775150662688,9.75470079953758
"Naa10",8.24955116972719,8.34964209806276,8.28886151270647,8.31786199444634,8.2910567695773,8.31519450320033
"Hcfc1",10.6993491285928,10.9798010584884,10.9400642639483,10.7356977594495,11.0496064682291,10.7921629434317
"Irak1",11.6453473884721,11.5792753392843,11.5253484446988,11.4652043462378,11.4616663605216,11.5503982725591
"Taz",9.01391615904682,8.82738748539475,8.86180791683858,9.00633007089612,9.1107341429669,9.11737601231372
"Dnase1l1",9.74446872600167,9.57456415924028,9.60442933155191,9.64214072951788,9.60204937705658,9.67718216435629
"363528",6.4347359969177,6.35436219533938,6.51421934387017,6.66034495868537,6.51640737515153,6.46870591917682
"Cluap1",8.37414527124666,8.29501185858302,8.33601239859628,8.32858099671042,8.33890881500987,8.33231107217871
"Naa60",10.842464083951,10.566460260043,10.6663978650252,10.6872124776719,10.5111972919702,10.6372691917929
"Mslnl",4.77042882671219,4.70063824120072,4.71361048635983,5.08104779791416,5.19608455228049,5.16048922269395
