"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C"
"Rtl6",9.68845336946331,10.0134932291454,10.0106497207682,10.1594396741515,10.1770152121854,10.0085510217046
"Arhgap8",2.50100745078888,2.5588369158688,2.51251658766556,2.69007494852154,2.7114175909648,2.71815186540645
"Phf21b",3.32974811281514,3.27696725313177,3.46809763662508,3.27769076734429,3.30413617679842,3.12617351841973
"Fam118a",8.12171923081191,8.17339990075227,8.31358496340243,8.4029738577388,8.30782832691266,8.1893756947054
"Smc1b",0.684092201702213,0.684196472566487,0.764050842303808,0.797202757914295,0.713507593557951,0.675448670566665
"Pkdrej",1.29985929136912,1.32860718203159,1.36582019754231,1.30129093090848,1.30046457498634,1.24929079210546
"Ttc38",7.1702767085851,7.46008455872348,7.60690509711455,7.30820518109843,7.33271185939372,7.02873405678581
"Gtse1",10.9769703116706,10.2263648107219,10.5149248505345,10.466625792876,10.4740940440984,10.5571026291489
"Celsr1",4.73688175963315,4.76999948209305,4.31239142165113,4.92168317586156,4.81967440165116,5.31172798796834
"Cerk",10.4137063999976,10.7112976596413,10.3600359542155,10.3384317375181,10.3245235177734,10.5339437032496
"Mov10l1",-1.96754109503237,-1.96742589884747,-1.96168821052579,-1.9673934396939,-1.96747833944204,-1.9732311759821
"Trabd",10.1317421305538,9.8355860259442,9.78545765817883,9.7912433040989,9.81215407548918,9.99990510986423
"Ppp6r2",9.6413269915487,9.66074304212346,9.58659989113265,9.58150079392319,9.58061736437521,9.64549420485263
"Sbf1",11.5630905545028,11.4087162779842,11.464125479019,11.4828638551343,11.4814278457657,11.5039237876745
"Ncaph2",11.2449866249782,10.7703883564634,10.909578014443,10.7729210989636,10.8461159257361,10.9076279886276
"Kif21a",6.32160477709122,6.54686107498635,6.2696589604168,6.66791801077023,6.59740964412241,6.79723779306831
"Lrrk2",8.48882114110712,8.49259960910572,8.59430936554248,8.83545144934712,8.68954138128405,8.65889742487952
"Gxylt1",9.27973597620057,9.11096759719076,9.19163270832967,9.12250978976731,9.10785792361459,9.11890293505695
"Irak4",8.38201782202374,8.4690831554349,8.53422235185014,8.17759377316342,8.13794227822315,8.04909616257247
"Amigo2",6.57713915457448,7.06132622758007,7.10928723603288,6.17763162545346,6.39216040248751,5.99484146901488
"Rpap3",8.82276582986101,8.75336318106173,8.63368703402963,8.64492479733796,8.62763170059519,8.79065572039832
"Slc48a1",11.0936598483799,11.4645377575466,11.3535554083233,11.4186972533289,11.5124682702226,11.3911261564157
"Senp1",10.2358532674601,9.88045698367634,9.97293663371601,9.82170663429267,9.85262169818135,9.92238265808924
"Zfp641",5.70046220302301,5.93714477365165,5.98364818456349,5.95947044750869,5.97863083274066,5.80420594389852
"Kansl2",9.84676514053582,9.94663169359922,9.90175328043832,9.84934093673043,9.79642062750125,9.81782591874504
"Tex49",0,0,0,0,0,0
"Ddx23",11.4530784263945,11.0536157708691,11.145378610242,11.1194272302807,11.0598158799669,11.1975900435136
"Fkbp11",9.27290206980082,8.87853708507163,9.03821905392242,8.99338009152217,9.08231128247749,9.07534621051364
"Lmbr1l",7.25598038886279,7.52662242800108,7.38393787463378,7.12217668260439,7.18862877725386,7.16276626372729
"Tuba1c",13.6238795185753,12.7590695371488,13.0333998823544,12.8265161308078,12.9483004721173,13.0454829469702
