gene_id,gene_symbol,WKY_Joint_5d_A,WKY_Joint_5d_B,WKY_Joint_5d_C,WKY_Joint_3m_A,WKY_Joint_3m_B,WKY_Joint_3m_C,SHR_Joint_5d_A,SHR_Joint_5d_B,SHR_Joint_5d_C,SHR_Joint_3m_A,SHR_Joint_3m_B,SHR_Joint_3m_C
116722,Psmd10,77,108,42,121,145,43,110,89,22,156,132,67
116723,Pip4k2a,993,779,1135.26,574,549,806,1150,1116,1066,967.05,1406,970
116724,Epb41l3,1414,955,638,105,181,36,401,394,235,167,20,38
116725,Ube2n,3154,1697,2122,1594,1831,1564,1829,2034,2388,1802,1619,1291
116726,Slc7a9,1,5,0,8,11,0,9,8,2,8,2,3
116727,Gp1bb,4.71,0,3.85,0,1.2,12.24,1.27,2.61,14.57,0,4.15,21.01
116728,Septin5,417.29,378,715.15,250,268.8,884.76,1854.73,1751.39,2591.43,1596,1962.85,3769.99
116740,B3gnt5,80,27,2,68,50,21,21,10,3,9,5,2
116741,Pcdha4,281,533,234,841,576,584,316,314,115,331,726,273
116743,Sh3gl2,2,4,7,2,0,0,2,1,0,1,3,4
116744,Lpar1,1854,3080,819,1537,2088,1037,1341,1430,938,1012,872,637
116745,Kcnh6,1,2,0,0,0,0,0,0,0,1,0,1
116777,Cdh3,957,579,1324,487,848,593,1658,1658,2825,866,1536,267
116782,Pcdhgc3,6582.16,5886.12,8025.11,5088.49,4642.86,6697.38,5453.08,5373.78,5595.34,4812.08,3122.96,6747.16
116808,Pcdh12,0,2,0,0,2,1,1,2,2,0,1,0
116839,Rims2,47.77,39.5,42.79,59.02,60.32,50.53,54.71,47.89,31,56.03,27,55.52
116967,Magt1,481,658,329,591,624,434,650,604,291,481,545,429
116996,Il16,24,34,60,239,111,27,13,13,53,23,25,26
117016,Mark1,200,176,278,23,54,143,187,167,213,162,121,91
117017,Polr2g,1223,783,531,812,983,692,892,1031,527,1020,818,647
117018,Kcnh2,114,540,254,448,506,948,481,584,251,507,606,744
117019,Eif2b4,574,349,525,360,395,548,333,406,622,352,274,690
117020,Mcf2l,162,94,100,132,108,167,41,45,83,99,66,158
117021,Nup155,819,472,647,442,587,369,624,619,571,552,658,328
117022,Il1r2,7,14,3,0,1,1,0,1,0,6,0,0
117023,Kcns1,21,8,36,10,17,9,24,30,27,15,12,24
117024,Crym,53,158,42,118,94,63,119,131,23,94,124,70
117025,Rhbdl1,6,18,8,11,12,38,9,18,5,15,8,21
